# name	# concentration	# mass		# atomic_radii
e-	1e5		9.109e-31	0
H2	9.41e14		2.01588		0
H2+	0		2.01588		0
H	0		1.00794		53
H+	0		1.00794		0
H3+	0		3.02382		0
H-	0		1.00794		0
He	9.41e17		4.0026		31
He+	0		4.0026		0
H2wall	0		2.01588		0
Ar	9.41e14		39.948		0
Ar+	0		39.948		0
ArH+	0		40.955		0
He2+	0		8.0052		0
HeH+	0		5.0105		0
H2(v=1)	0		2.01588		0
H2(v=2)	0		2.01588		0
H2(v=3)	0		2.01588		0
He(1s2s)	0	4.0026		0
H+wall	0		1.00794		0
H2+wall	0		2.01588		0
He+wall	0		4.0026		0
He2+wall	0	8.0052		0
H3+wall	0		3.02382		0
Ar+wall	0		39.948		0
ArH+wall	0	40.955		0
HeH+wall	0	5.0105		0
